symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
PGHL,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,4890.0,4754.521215172707,5296.436354481878,123.16252899169922,1,0.81349427,1,0.81349427,,0.81349427,1.0,0.81349427
VMM,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,105.75,100.98254627385023,120.0523611784493,4.334048748016357,1,0.7489141,1,0.7489141,,0.7489141,1.0,0.7489141
MSCIADD,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,28.290000915527344,27.658871094614163,30.183390378266886,0.5737543702125549,1,0.6091261,1,0.6091261,,0.6091261,1.0,0.6091261
LMW,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,14451.0,13940.203400794016,15983.38979761795,464.36053466796875,1,0.6068213,1,0.6068213,,0.6068213,1.0,0.6068213
BAYERCROP,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,4503.60009765625,4376.486380301525,4884.941249720425,115.55792236328125,1,0.5281963,1,0.5281963,,0.5281963,1.0,0.5281963
BANARBEADS,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,113.94999694824219,105.18867755020057,140.23395514236705,7.9648356437683105,1,0.52587575,1,0.52587575,,0.52587575,1.0,0.52587575
TENNIND,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,530.0,504.5886226868331,606.2341319395007,23.10125160217285,1,0.49580848,1,0.49580848,,0.49580848,1.0,0.49580848
SENORES,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,748.7999877929688,718.7747842002955,838.8755985709886,27.295639038085938,1,0.49423963,1,0.49423963,,0.49423963,1.0,0.49423963
INDOTHAI,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,254.0,241.761334249352,290.71599725194403,11.126059532165527,1,0.48343223,1,0.48343223,,0.48343223,1.0,0.48343223
CIEINDIA,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,450.20001220703125,428.2711493507545,515.9866007758615,19.93532943725586,1,0.4699986,1,0.4699986,,0.4699986,1.0,0.4699986
VINATIORGA,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,1400.0,1354.2360730742557,1537.2917807772328,41.60356903076172,1,0.45888895,1,0.45888895,,0.45888895,1.0,0.45888895
1040NFL26-NA,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,1005.0,991.9626242672882,1031.0747514654236,11.85215950012207,1,0.45012748,1,0.45012748,,0.45012748,1.0,0.45012748
M&M,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,3029.0,2912.520175698024,3378.4394729059277,105.8907470703125,1,0.43408054,1,0.43408054,,0.43408054,1.0,0.43408054
APOLLOTYRE,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,412.79998779296875,396.57508500218603,445.2497933745342,14.749911308288574,1,0.42111164,1,0.42111164,,0.42111164,1.0,0.42111164
TRENT,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,3581.199951171875,3451.91730219055,3969.0478981158503,117.52967834472656,1,0.4151882,1,0.4151882,,0.4151882,1.0,0.4151882
DELAPLEX-SM,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,96.55000305175781,87.84666366786655,122.6600212034316,7.912126541137695,1,0.39445186,1,0.39445186,,0.39445186,1.0,0.39445186
BANCOINDIA,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,566.0,539.7057008766196,618.5885982467607,23.903907775878906,1,0.38276762,1,0.38276762,,0.38276762,1.0,0.38276762
MOMENTUM30,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,29.399999618530273,28.314068556136846,31.57186174331713,0.9872100353240967,1,0.3822297,1,0.3822297,,0.3822297,1.0,0.3822297
JSWHL,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,16635.0,15914.393166754315,18076.21366649137,655.0971069335938,1,0.377544,1,0.377544,,0.377544,1.0,0.377544
ICDSLTD,2026-03-16,2026-03-17,short,bear,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,49.790000915527344,54.71259533107485,39.94481208443233,4.475085735321045,1,0.36527506,1,0.36527506,,0.36527506,1.0,0.36527506
LOWVOL,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,195.5500030517578,192.82741550266553,200.99517814994238,2.4750795364379883,1,0.34060943,1,0.34060943,,0.34060943,1.0,0.34060943
HSCL,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,439.6000061035156,421.10695016832665,476.5861179738936,16.81186866760254,1,0.33263326,1,0.33263326,,0.33263326,1.0,0.33263326
CEIGALL,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,273.04998779296875,261.4829899188172,296.1839835412718,10.51545238494873,1,0.32375342,1,0.32375342,,0.32375342,1.0,0.32375342
INNOMET-SM,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,72.5,66.05704613072322,85.38590773855356,5.8572306632995605,1,0.30069715,1,0.30069715,,0.30069715,1.0,0.30069715
ARCHIES,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,14.039999961853027,13.081972792841583,16.91408146888736,0.8709337711334229,1,0.28864104,1,0.28864104,,0.28864104,1.0,0.28864104
ZTECH-SM,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,514.0,487.4048818545966,567.1902362908068,24.177379608154297,1,0.28669548,1,0.28669548,,0.28669548,1.0,0.28669548
GREENLAM,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,223.64999389648438,213.4258303333594,244.09832102273435,9.294693946838379,1,0.26875126,1,0.26875126,,0.26875126,1.0,0.26875126
TEXINFRA,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,87.9800033569336,84.28593258003602,95.36814491072874,3.358246088027954,1,0.2560563,1,0.2560563,,0.2560563,1.0,0.2560563
COMPUSOFT,2026-03-16,2026-03-17,short,bear,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,13.680000305175781,14.844689227552607,11.35062246042213,1.0588080883026123,1,0.25358558,1,0.25358558,,0.25358558,1.0,0.25358558
SUPREMEENG-BZ,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,1.0199999809265137,0.9426445422691554,1.1747108582412302,0.07032312452793121,1,0.22999257,1,0.22999257,,0.22999257,1.0,0.22999257
NRL,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,52.0,49.47036401511028,57.059271969779445,2.299669027328491,1,0.2276982,1,0.2276982,,0.2276982,1.0,0.2276982
BIKAJI,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,623.5,603.6732112401878,663.1535775196244,18.02435302734375,1,0.225398,1,0.225398,,0.225398,1.0,0.225398
OSELDEVICE-SM,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,482.0,456.8725164689263,532.2549670621474,22.84316635131836,1,0.2233926,1,0.2233926,,0.2233926,1.0,0.2233926
GOKUL,2026-03-16,2026-03-17,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-16,40.0,42.65198179270965,36.02202731093553,2.4108924865722656,1,0.223055,1,0.223055,,0.223055,1.0,0.223055
OLAELEC,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,24.299999237060547,22.72462881965268,27.450740071876282,1.432154893875122,1,0.21799982,1,0.21799982,,0.21799982,1.0,0.21799982
DREDGECORP,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-16,900.5,839.0959764523068,1084.7120706430796,55.82183837890625,1,0.20599353,1,0.20599353,,0.20599353,1.0,0.20599353
SURYODAY,2026-03-16,2026-03-17,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-16,126.0,133.01572385735346,115.4764142139698,6.377930641174316,1,0.20493257,1,0.20493257,,0.20493257,1.0,0.20493257
SARLAPOLY,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,81.0,76.40683669625275,90.1863266074945,4.175602912902832,1,0.203857,1,0.203857,,0.203857,1.0,0.203857
BOROSCI,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,2026-03-16,106.19999694824219,100.58955318688385,114.6156625902797,5.100403308868408,1,0.20328185,1,0.20328185,,0.20328185,1.0,0.20328185
HONDAPOWER,2026-03-16,2026-03-17,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,2026-03-16,2080.0,1982.834092132267,2274.331815735466,88.3326416015625,1,0.19695437,1,0.19695437,,0.19695437,1.0,0.19695437
