symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
SILLYMONKS,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,17.139999389648438,15.886992427370615,20.899020276481906,1.1390972137451172,1,0.9639421,1,0.9639421,,0.9639421,1.0,0.9639421
AEGISLOG,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,628.3499755859375,599.6468163944774,714.4594531603179,26.093780517578125,1,0.66965175,1,0.66965175,,0.66965175,1.0,0.66965175
891IIFCL34-N4,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,1220.0,1210.748032750824,1247.755901747528,8.410879135131836,1,0.6191974,1,0.6191974,,0.6191974,1.0,0.6191974
OMKARCHEM-BZ,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,4.179999828338623,3.8247307849413907,5.24580695853032,0.3229718506336212,1,0.5866299,1,0.5866299,,0.5866299,1.0,0.5866299
TTML,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,40.119998931884766,38.225647563406525,45.803053037319486,1.7221375703811646,1,0.5849669,1,0.5849669,,0.5849669,1.0,0.5849669
SADHNANIQ,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,1.6100000143051147,1.484473962596307,1.9865781694315379,0.11411458998918533,1,0.53810686,1,0.53810686,,0.53810686,1.0,0.53810686
JUBLPHARMA,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,823.9500122070312,788.7964399347832,929.4107290237755,31.957792282104492,1,0.51824856,1,0.51824856,,0.51824856,1.0,0.51824856
SHEKHAWATI,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,12.789999961853027,11.448280519968392,16.815158287506932,1.2197449207305908,1,0.51764756,1,0.51764756,,0.51764756,1.0,0.51764756
KHAICHEM,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,54.83000183105469,51.36478109001635,65.2256640541697,3.150200605392456,1,0.49699062,1,0.49699062,,0.49699062,1.0,0.49699062
ABREL,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,1197.0999755859375,1141.789281790675,1363.032056971725,50.282447814941406,1,0.46689063,1,0.46689063,,0.46689063,1.0,0.46689063
HINDPETRO,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,386.45001220703125,368.56153373093,440.11544763533493,16.262252807617188,1,0.4641441,1,0.4641441,,0.4641441,1.0,0.4641441
957ICCL25-YW,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,1050.0,1041.0571381537943,1076.8285855386166,8.129874229431152,1,0.4527127,1,0.4527127,,0.4527127,1.0,0.4527127
HOMESFY-SM,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,137.85000610351562,130.65797713903885,159.42609299694595,6.5382080078125,1,0.40317047,1,0.40317047,,0.40317047,1.0,0.40317047
LIQUID1,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,1094.8699951171875,1092.313788740067,1102.5386142485493,2.323823928833008,1,0.40221208,1,0.40221208,,0.40221208,1.0,0.40221208
GOPAL,2026-03-12,2026-03-13,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-12,297.0,284.32214242159546,335.0335727352136,11.525324821472168,1,0.39884728,1,0.39884728,,0.39884728,1.0,0.39884728
