symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
RULKA-SM,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,86.0,81.12036332044522,100.63891003866433,4.436033248901367,1,1.1641059,1,1.1641059,,1.1641059,1.0,1.1641059
MOMGF,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,145.89999389648438,141.69315963210119,158.52049668963394,3.824394702911377,1,1.1618282,1,1.1618282,,1.1618282,1.0,1.1618282
ACEINTEG,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,17.549999237060547,16.128995971874687,21.813009032618126,1.2918211221694946,1,1.1378604,1,1.1378604,,1.1378604,1.0,1.1378604
MON50EQUAL,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,30.969999313354492,29.856022643740033,34.31192932219787,1.0127060413360596,1,1.005728,1,1.005728,,1.005728,1.0,1.005728
MIDQ50ADD,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,223.0,215.0286379040076,246.91408628797717,7.246692657470703,1,0.9660922,1,0.9660922,,0.9660922,1.0,0.9660922
SONAMAC-SM,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,32.95000076293945,31.028219574759632,38.71534432747892,1.747073769569397,1,0.90009195,1,0.90009195,,0.90009195,1.0,0.90009195
CHEMICAL,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,26.8799991607666,25.85879679493032,29.943606258275445,0.9283657670021057,1,0.8943284,1,0.8943284,,0.8943284,1.0,0.8943284
NUVOCO,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,304.0,289.3507327719327,347.94780168420186,13.31751537322998,1,0.89410317,1,0.89410317,,0.89410317,1.0,0.89410317
CHALET,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,734.7999877929688,702.672590513069,831.1821796326678,29.206724166870117,1,0.8701265,1,0.8701265,,0.8701265,1.0,0.8701265
HDFCGROWTH,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,111.80000305175781,108.8303714108547,120.70889797446716,2.699665069580078,1,0.8565612,1,0.8565612,,0.8565612,1.0,0.8565612
PIDILITIND,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,1368.699951171875,1323.7360025196954,1503.5917971284139,40.87631607055664,1,0.85021347,1,0.85021347,,0.85021347,1.0,0.85021347
NAMAN-SM,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,49.0,46.2848386176031,57.1454841471907,2.4683284759521484,1,0.83527166,1,0.83527166,,0.83527166,1.0,0.83527166
TMPV,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,317.6000061035156,304.16778993103253,357.8966546209649,12.211105346679688,1,0.81806344,1,0.81806344,,0.81806344,1.0,0.81806344
ACC,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,1364.9000244140625,1320.3006219733975,1498.6982317360576,40.5449104309082,1,0.7949553,1,0.7949553,,0.7949553,1.0,0.7949553
BOROLTD,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,227.0,214.33695174427362,264.98914476717914,11.511861801147461,1,0.78953034,1,0.78953034,,0.78953034,1.0,0.78953034
NXST-RR,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,157.88999938964844,153.81395178543335,170.1181422022937,3.7054977416992188,1,0.78231287,1,0.78231287,,0.78231287,1.0,0.78231287
GRASIM,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,2655.10009765625,2568.5472027138603,2914.758782483419,78.6844482421875,1,0.760359,1,0.760359,,0.760359,1.0,0.760359
NFL,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,69.63999938964844,66.1596152743343,80.08115173559085,3.16398549079895,1,0.75675625,1,0.75675625,,0.75675625,1.0,0.75675625
FORTIS,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,832.0,801.4748692572089,923.5753922283734,27.750118255615234,1,0.74961233,1,0.74961233,,0.74961233,1.0,0.74961233
GROWWMC150,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,203.69000244140625,196.9465940921218,223.92022748925956,6.13037109375,1,0.74634767,1,0.74634767,,0.74634767,1.0,0.74634767
INDUSINDBK,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,820.5499877929688,787.83727765706,918.688118200695,29.738826751708984,1,0.744164,1,0.744164,,0.744164,1.0,0.744164
HDFCMID150,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,20.729999542236328,19.97328335790816,23.000148095220837,0.687923789024353,1,0.7402901,1,0.7402901,,0.7402901,1.0,0.7402901
APS-SM,2026-03-25,2026-03-26,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-25,303.8999938964844,287.5581061635909,352.92565709516487,14.856261253356934,1,0.7243763,1,0.7243763,,0.7243763,1.0,0.7243763
