Ticker,Kind,Basis,PivotIdx1,PivotIdx2,ConfirmIdx,SignalDate,EntryIdx,EntryDate,PriceAtPivot1,PriceAtPivot2,RSIAtPivot1,RSIAtPivot2,CloseConfirm,VolumeConfirm,ATRMult,ATRPeriod,LookbackBars,SecondPointLookback
ACI,bearish,close,236,247,249,2026-03-02,250,2026-03-03,594.65,596.0,62.0076007732689,61.39813752874427,555.1,28738.0,1.1,14,252,5
ANTHEM,bearish,close,141,151,153,2026-03-02,154,2026-03-03,703.4,703.5,71.74727076275485,65.04960355139971,685.0,297553.0,1.1,14,252,5
AONETMMQ50,bearish,close,54,65,65,2026-03-02,66,2026-03-03,9.71,9.75,52.92213867321364,51.58028545527078,9.75,43710.0,1.1,14,252,5
ATUL,bearish,close,236,248,249,2026-03-02,250,2026-03-03,6664.0,6674.0,68.40123262459007,63.10465510608647,6574.5,4499.0,1.1,14,252,5
AYMSYNTEX,bearish,close,242,245,249,2026-03-02,250,2026-03-03,197.26,200.44,64.73357942318746,62.52441325815724,197.35,18323.0,1.1,14,252,5
BIRET-RR,bearish,close,236,248,249,2026-03-02,250,2026-03-03,365.92,369.0,68.20506273882123,66.3307035287819,362.18,29717.0,1.1,14,252,5
BLS,bearish,extreme,240,247,249,2026-03-02,250,2026-03-03,289.8,291.9,48.459169916635,47.45448174627932,267.85,340246.0,1.1,14,252,5
FELIX-SM,bearish,extreme,241,248,249,2026-03-02,250,2026-03-03,200.95,212.0,63.12388900362319,53.26533432184001,191.0,4500.0,1.1,14,252,5
GEMAROMA,bearish,extreme,113,127,128,2026-03-02,129,2026-03-03,205.0,206.99,69.63561035248176,61.82300157011639,191.71,37316.0,1.1,14,252,5
GESHIP,bearish,close,235,246,249,2026-03-02,250,2026-03-03,1342.7,1346.8,83.44386517678274,70.61538968355202,1330.2,160198.0,1.1,14,252,5
GODAVARIB,bearish,close,235,248,249,2026-03-02,250,2026-03-03,290.65,294.65,65.45283364085799,61.33020612987601,282.2,176790.0,1.1,14,252,5
GROWWNXT50,bearish,close,116,127,128,2026-03-02,129,2026-03-03,69.95,70.18,59.51655592291904,55.7150298341995,68.84,11183.0,1.1,14,252,5
HONASA,bearish,close,238,247,249,2026-03-02,250,2026-03-03,301.45,307.4,67.18261572634285,64.73296167689841,293.1,202145.0,1.1,14,252,5
ICICIB22,bearish,close,238,249,249,2026-03-02,250,2026-03-03,123.29,125.5,58.78275093594296,55.59554541116979,125.5,893987.0,1.1,14,252,5
