Ticker,Kind,Basis,PivotIdx1,PivotIdx2,ConfirmIdx,SignalDate,EntryIdx,EntryDate,PriceAtPivot1,PriceAtPivot2,RSIAtPivot1,RSIAtPivot2,CloseConfirm,VolumeConfirm,ATRMult,ATRPeriod,LookbackBars,SecondPointLookback
1018GS2026-GS,bearish,close,223,227,228,2026-02-27,229,2026-03-02,108.49,108.75,58.88631917700095,57.13002144044807,106.0,111.0,1.1,14,252,5
865IRFC29-NA,bearish,extreme,246,249,250,2026-02-27,251,2026-03-02,1170.0,1180.0,58.01312004050713,54.29608691345259,1167.25,1020.0,1.1,14,252,5
ABSLPSE,bearish,close,237,250,250,2026-02-27,251,2026-03-02,10.73,10.82,62.61276164858583,59.265983618861526,10.82,381482.0,1.1,14,252,5
ADANIENSOL,bearish,extreme,243,248,250,2026-02-27,251,2026-03-02,1038.8,1051.8,59.38466270460135,54.064069945091376,1011.55,702337.0,1.1,14,252,5
ATMASTCO-SM,bearish,close,244,249,250,2026-02-27,251,2026-03-02,152.25,153.7,60.00328046584429,57.56491061640144,148.2,36000.0,1.1,14,252,5
BFSI,bearish,close,241,247,250,2026-02-27,251,2026-03-02,29.25,29.26,61.693643753680725,57.71985332681095,28.8,285147.0,1.1,14,252,5
BORANA-BE,bearish,close,175,190,191,2026-02-27,192,2026-03-02,381.9,402.3,67.42520438772236,63.646327955580205,390.65,35173.0,1.1,14,252,5
DGCONTENT,bearish,extreme,239,250,250,2026-02-27,251,2026-03-02,29.75,30.48,50.147259736442486,48.24492511431198,27.68,9570.0,1.1,14,252,5
EICHERMOT,bearish,close,244,250,250,2026-02-27,251,2026-03-02,7897.0,8010.5,65.11226688716391,61.41677903502472,8010.5,774354.0,1.1,14,252,5
EQUAL50ADD,bearish,close,236,243,250,2026-02-27,251,2026-03-02,349.7,349.91,59.17108573537422,57.25120975560239,343.98,11958.0,1.1,14,252,5
FORCEMOT,bearish,close,243,249,250,2026-02-27,251,2026-03-02,25237.0,25457.0,69.45275664310488,67.13737906911645,24341.0,79173.0,1.1,14,252,5
FORTIS,bearish,close,239,250,250,2026-02-27,251,2026-03-02,928.55,942.65,65.92062108535646,61.96119058004901,942.65,3208469.0,1.1,14,252,5
GODREJIND,bearish,extreme,237,244,250,2026-02-27,251,2026-03-02,1058.1,1063.0,59.81581674771277,56.15994086430575,993.05,106474.0,1.1,14,252,5
IBLFL-SM,bearish,extreme,207,213,213,2026-02-27,214,2026-03-02,49.75,50.45,45.15525631084278,44.15320525517676,48.05,32000.0,1.1,14,252,5
INDIAMART,bearish,extreme,242,248,250,2026-02-27,251,2026-03-02,2236.5,2242.9,50.21085250694406,47.056143228521414,2132.0,50100.0,1.1,14,252,5
IWARE-ST,bearish,close,194,203,205,2026-02-27,206,2026-03-02,260.0,271.55,74.88676624407682,71.89530184067,267.65,7200.0,1.1,14,252,5
JYOTISTRUC,bearish,close,245,249,250,2026-02-27,251,2026-03-02,12.54,12.97,70.13761109844884,69.53310726919132,12.55,7857319.0,1.1,14,252,5
LINDEINDIA,bearish,close,244,249,250,2026-02-27,251,2026-03-02,6789.5,6895.5,69.78486120703033,68.63930305205612,6730.0,22937.0,1.1,14,252,5
MIDCAP,bearish,extreme,238,250,250,2026-02-27,251,2026-03-02,17.79,18.08,57.745400388833495,47.198701989560966,17.22,401019.0,1.1,14,252,5
MOMOMENTUM,bearish,extreme,241,250,250,2026-02-27,251,2026-03-02,65.37,66.28,56.470780252803976,52.1285923623417,63.53,45745.0,1.1,14,252,5
NIDAN-SM,bearish,extreme,225,234,234,2026-02-27,235,2026-03-02,17.9,18.25,57.17837806182404,44.586777380130535,16.1,7000.0,1.1,14,252,5
NLCINDIA,bearish,extreme,233,244,250,2026-02-27,251,2026-03-02,268.4,271.25,57.30419774817896,53.67628453709894,260.05,877868.0,1.1,14,252,5
ORIENTELEC,bearish,close,238,250,250,2026-02-27,251,2026-03-02,180.66,185.11,58.25348063740053,57.64884488115987,185.11,1326116.0,1.1,14,252,5
PFC,bearish,close,243,249,250,2026-02-27,251,2026-03-02,420.45,420.6,66.42833292211517,62.65380061245259,413.8,6922370.0,1.1,14,252,5
POLYPLEX,bearish,extreme,237,250,250,2026-02-27,251,2026-03-02,905.5,929.0,63.40220261415827,53.41514000474447,848.3,2440929.0,1.1,14,252,5
PRAKASH,bearish,close,240,249,250,2026-02-27,251,2026-03-02,134.85,135.74,57.867435490248894,55.430345725752034,131.16,427810.0,1.1,14,252,5
PRIZOR-SM,bearish,close,243,249,250,2026-02-27,251,2026-03-02,329.0,349.45,67.8315360170223,67.51024587198802,344.65,17200.0,1.1,14,252,5
QUESTLAB-ST,bearish,extreme,236,242,243,2026-02-27,244,2026-03-02,132.0,134.0,68.77606348858205,58.73528355311828,120.75,30000.0,1.1,14,252,5
STARHEALTH,bearish,extreme,243,248,250,2026-02-27,251,2026-03-02,485.6,486.45,57.02250702787642,53.397569587555694,465.5,176061.0,1.1,14,252,5
STLTECH,bearish,close,237,248,250,2026-02-27,251,2026-03-02,157.48,166.29,82.5620922819775,70.90507879196531,159.18,11718512.0,1.1,14,252,5
TMPV,bearish,close,240,250,250,2026-02-27,251,2026-03-02,380.25,382.65,62.76577102953792,57.31867817546695,382.65,15951041.0,1.1,14,252,5
ACCPL-ST,bullish,extreme,180,190,190,2026-02-27,191,2026-03-02,66.0,64.45,42.57065008171619,51.40870523172943,71.0,8400.0,1.1,14,252,5
ASAHISONG,bullish,close,231,248,250,2026-02-27,251,2026-03-02,213.96,210.57,32.17170426568225,35.590995295079395,224.61,9488.0,1.1,14,252,5
ASHALOG-SM,bullish,extreme,237,241,242,2026-02-27,243,2026-03-02,60.25,60.0,36.69846157718801,41.76445402214967,63.0,4000.0,1.1,14,252,5
BAGFILMS,bullish,close,231,250,250,2026-02-27,251,2026-03-02,5.29,5.1,21.41637579108236,29.340863370042456,5.1,191770.0,1.1,14,252,5
BIGBLOC,bullish,close,231,250,250,2026-02-27,251,2026-03-02,56.4,53.63,38.00231409398495,42.16075586425928,53.63,609031.0,1.1,14,252,5
BIKAJI,bullish,close,226,248,250,2026-02-27,251,2026-03-02,647.5,624.7,24.25889610986883,32.08369718929676,638.15,161268.0,1.1,14,252,5
CCHHL,bullish,extreme,231,248,250,2026-02-27,251,2026-03-02,12.58,12.57,28.444874663380347,42.23567678235791,13.47,8504.0,1.1,14,252,5
CLEAN,bullish,close,231,246,250,2026-02-27,251,2026-03-02,799.7,728.55,30.07251951463617,31.32908971420386,735.15,470362.0,1.1,14,252,5
EFACTOR-SM,bullish,close,232,236,237,2026-02-27,238,2026-03-02,242.0,220.0,30.5704879177851,30.682454212312095,234.95,2000.0,1.1,14,252,5
EUROTEXIND-BE,bullish,close,217,225,225,2026-02-27,226,2026-03-02,13.24,12.91,47.46843943292388,48.53989055948482,12.91,122.0,1.1,14,252,5
GOLDENTOBC-BZ,bullish,close,237,250,250,2026-02-27,251,2026-03-02,30.28,29.84,48.58931443251481,49.48392151963711,29.84,1317.0,1.1,14,252,5
IBULLSLTD,bullish,close,178,208,210,2026-02-27,211,2026-03-02,12.08,9.11,22.001430814356127,25.520860810423216,10.45,7603349.0,1.1,14,252,5
JAYBEE-SM,bullish,close,235,250,250,2026-02-27,251,2026-03-02,81.7,76.3,27.123405440868694,30.567239266005956,76.3,66000.0,1.1,14,252,5
KCPSUGIND,bullish,close,240,244,250,2026-02-27,251,2026-03-02,22.14,22.02,36.29176617788251,38.33869284483364,23.15,206896.0,1.1,14,252,5
MADHAVBAUG-SM,bullish,extreme,218,225,225,2026-02-27,226,2026-03-02,208.0,203.3,27.66096501979706,36.9168253544821,216.2,8400.0,1.1,14,252,5
MAFANG,bullish,close,242,248,250,2026-02-27,251,2026-03-02,151.99,150.87,29.65946372228575,32.14020628423408,155.59,527532.0,1.1,14,252,5
MUNISH-SM,bullish,close,82,92,95,2026-02-27,96,2026-03-02,74.85,72.5,29.64872422997101,37.58146495973376,75.75,196800.0,1.1,14,252,5
