pos_id,symbol,side,entry_date,ref_date,entry_price_proxy,qty,stop_price_proxy,target_price_proxy,stop_r,tgt_r,atr_value_ref,risk_amt,gate_mult,expr_score,expr_score_adj,rr_pred,model_run
71,EQUIPPP-BE,long,2026-03-16,2026-03-13,16.479999542236328,4848,15.49258794784546,19.442234325408936,1.1,3.3,0.8976469039916992,4787.32040000069,1.0,1.0741218328475952,1.0741218328475952,,2026-03-13
72,EQUAL50ADD,long,2026-03-16,2026-03-13,326.0,666,318.8140923500061,347.55772294998167,1.1,3.3,6.5326433181762695,4787.32040000069,1.0,0.8477857112884521,0.8477857112884521,,2026-03-13
73,SPECTSTM-SM,long,2026-03-16,2026-03-13,72.0,901,66.68818497657776,87.93544507026672,1.1,3.3,4.828922748565674,4787.32040000069,1.0,0.7842134833335876,0.7842134833335876,,2026-03-13
74,PROPEQUITY-SM,long,2026-03-16,2026-03-13,189.89999389648438,465,179.61796960830688,220.74606676101683,1.1,3.3,9.347294807434082,4787.32040000069,1.0,0.7379792332649231,0.7379792332649231,,2026-03-13
75,POWERMECH,long,2026-03-16,2026-03-13,2015.0,55,1929.0868377685547,2272.739486694336,1.1,3.3,78.10287475585938,4787.32040000069,1.0,0.7125306129455566,0.7125306129455566,,2026-03-13
76,ZENITHEXPO,long,2026-03-16,2026-03-13,192.10000610351562,514,182.7970640182495,220.00883235931397,1.1,3.3,8.457220077514648,4787.32040000069,1.0,0.6936131715774536,0.6936131715774536,,2026-03-13
77,AERON-SM,long,2026-03-16,2026-03-13,89.94999694824219,1371,86.45832180976868,100.42502236366272,1.1,3.3,3.1742501258850098,4787.32040000069,1.0,0.6731649041175842,0.6731649041175842,,2026-03-13
78,FLEXIADD,long,2026-03-16,2026-03-13,9.640000343322754,16891,9.356592240929604,10.490224650502205,1.1,3.3,0.2576437294483185,4787.32040000069,1.0,0.6728255748748779,0.6728255748748779,,2026-03-13
79,NAZARA,long,2026-03-16,2026-03-13,242.0,421,230.65176849365236,276.044694519043,1.1,3.3,10.316574096679688,4787.32040000069,1.0,0.6725194454193115,0.6725194454193115,,2026-03-13
80,MORARJEE-BZ,long,2026-03-16,2026-03-13,6.909999847412109,8633,6.355483591556549,8.57354861497879,1.1,3.3,0.5041056871414185,4787.32040000069,1.0,0.6491157412528992,0.6491157412528992,,2026-03-13
81,TOP10ADD,long,2026-03-16,2026-03-13,90.0,2067,87.68409452438354,96.94771642684937,1.1,3.3,2.1053686141967773,4787.32040000069,1.0,0.6439896821975708,0.6439896821975708,,2026-03-13
