symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
IRFC,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,98.19000244140625,94.47095843837383,109.34713445050352,3.380949020385742,1,0.91690046,1,0.91690046,,0.91690046,1.0,0.91690046
LEMONTREE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,107.44999694824219,102.59075888592031,122.02771113520782,4.417489051818848,1,0.8631131,1,0.8631131,,0.8631131,1.0,0.8631131
MOM50,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,247.5399932861328,241.1828541808315,266.61141060203676,5.77921724319458,1,0.8335528,1,0.8335528,,0.8335528,1.0,0.8335528
ICICIBANK,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1292.0,1259.651848664107,1389.0444540076787,29.40740966796875,1,0.8192911,1,0.8192911,,0.8192911,1.0,0.8192911
INDHOTEL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,638.0,617.1900409002747,700.429877299176,18.91814422607422,1,0.7916245,1,0.7916245,,0.7916245,1.0,0.7916245
TRITURBINE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,476.0,460.2233097471608,523.3300707585176,14.342445373535156,1,0.7793498,1,0.7793498,,0.7793498,1.0,0.7793498
CONCOR,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,458.54998779296875,443.71803833285355,503.04583617331434,13.483590126037598,1,0.7761222,1,0.7761222,,0.7761222,1.0,0.7761222
LTF,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,270.0,258.83070959677934,303.50787120966197,10.153900146484375,1,0.7668338,1,0.7668338,,0.7668338,1.0,0.7668338
SERVOTECH,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,71.25,66.50276917658653,85.49169247024042,4.315664291381836,1,0.7668045,1,0.7668045,,0.7668045,1.0,0.7668045
ABCAPITAL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,328.3999938964844,315.3201938655203,367.6393939893766,11.890727043151855,1,0.76169574,1,0.76169574,,0.76169574,1.0,0.76169574
UNICHEMLAB,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,320.6000061035156,303.2933419291179,372.5199986267088,15.733330726623535,1,0.7544866,1,0.7544866,,0.7544866,1.0,0.7544866
SAMHI,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,152.11000061035156,144.94844945644138,173.5946540720821,6.510500907897949,1,0.73543286,1,0.73543286,,0.73543286,1.0,0.73543286
EIHOTEL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,323.29998779296875,310.4427839353474,361.8715993658328,11.688366889953613,1,0.7341487,1,0.7341487,,0.7341487,1.0,0.7341487
MOSMALL250,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,15.220000267028809,14.706895152534027,16.759315610513152,0.466459184885025,1,0.7337846,1,0.7337846,,0.7337846,1.0,0.7337846
AMJLAND,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,38.599998474121094,36.14620007918535,45.96139365892833,2.2307257652282715,1,0.7315408,1,0.7315408,,0.7315408,1.0,0.7315408
ORIENTHOT,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,91.75,86.87861823013952,106.36414530958143,4.428528785705566,1,0.7262154,1,0.7262154,,0.7262154,1.0,0.7262154
MOTOUR,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,71.94999694824219,69.34429179742759,79.76711240068599,2.3688228130340576,1,0.714903,1,0.714903,,0.714903,1.0,0.714903
CHETANA-SM,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,35.0,32.48703932083822,42.53888203748534,2.2845096588134766,1,0.7047688,1,0.7047688,,0.7047688,1.0,0.7047688
AVTNPL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,61.59000015258789,58.63283191470302,70.4615048662425,2.6883347034454346,1,0.69643867,1,0.69643867,,0.69643867,1.0,0.69643867
RVNL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,275.20001220703125,261.78339423663795,315.44986611821116,12.196925163269043,1,0.6917527,1,0.6917527,,0.6917527,1.0,0.6917527
IMFA,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1255.0999755859375,1183.911405164793,1468.665686849371,64.71688079833984,1,0.688457,1,0.688457,,0.688457,1.0,0.688457
SUMMITSEC,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1579.0,1509.4709884832337,1787.587034550299,63.20819091796875,1,0.66985774,1,0.66985774,,0.66985774,1.0,0.66985774
MOTILALOFS,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,697.0,665.8899823121587,790.3300530635238,28.28183364868164,1,0.6689645,1,0.6689645,,0.6689645,1.0,0.6689645
VASCONEQ,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,33.290000915527344,31.04747218993515,40.01758709230393,2.0386624336242676,1,0.6678101,1,0.6678101,,0.6678101,1.0,0.6678101
RAMCOIND,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,265.0,252.33296538554464,303.0011038433661,11.515485763549805,1,0.66435033,1,0.66435033,,0.66435033,1.0,0.66435033
LIKHITHA,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,145.0,137.55857184493698,167.32428446518907,6.764934539794922,1,0.66160077,1,0.66160077,,0.66160077,1.0,0.66160077
ASIANPAINT,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,2260.0,2197.060758370936,2448.8177248871916,57.217491149902344,1,0.6558986,1,0.6558986,,0.6558986,1.0,0.6558986
KECL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,83.48999786376953,78.4924955715374,98.48250474046591,4.54318380355835,1,0.6552154,1,0.6552154,,0.6552154,1.0,0.6552154
ESG,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,40.34000015258789,39.516194403197424,42.81141740075929,0.7489143013954163,1,0.6499051,1,0.6499051,,0.6499051,1.0,0.6499051
RITES,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,196.82000732421875,189.42907689287597,218.9927986182471,6.719027519226074,1,0.6465364,1,0.6465364,,0.6465364,1.0,0.6465364
CONTROLPR,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,646.7000122070312,619.1735023254371,729.2795418518137,25.024099349975586,1,0.6374028,1,0.6374028,,0.6374028,1.0,0.6374028
IEX,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,123.11000061035156,118.83656373298305,135.9303112424571,3.8849425315856934,1,0.6356543,1,0.6356543,,0.6356543,1.0,0.6356543
CHALET,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,750.0,716.5551153563395,850.3346539309816,30.40443992614746,1,0.63224995,1,0.63224995,,0.63224995,1.0,0.63224995
MARUTI,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,13043.0,12589.81140375162,14402.565788745138,411.9896240234375,1,0.6219816,1,0.6219816,,0.6219816,1.0,0.6219816
VSTIND,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,226.8000030517578,219.1060422183392,249.8818855520136,6.994509696960449,1,0.6200251,1,0.6200251,,0.6200251,1.0,0.6200251
ITADD,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,31.59000015258789,30.40684888182659,35.13945396487179,1.075592041015625,1,0.6141183,1,0.6141183,,0.6141183,1.0,0.6141183
RADHIKAJWE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,59.11000061035156,55.920493485938266,68.67852198359145,2.8995518684387207,1,0.6134004,1,0.6134004,,0.6134004,1.0,0.6134004
NPBET,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,271.989990234375,264.48042262013246,294.5186930771026,6.826879501342773,1,0.6107844,1,0.6107844,,0.6107844,1.0,0.6107844
FISCHER,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,36.599998474121094,34.558992770780094,42.72301558414409,1.8554596900939941,1,0.60357296,1,0.60357296,,0.60357296,1.0,0.60357296
KIRIINDUS,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,393.54998779296875,372.924991542101,455.424976545572,18.749996185302734,1,0.5966375,1,0.5966375,,0.5966375,1.0,0.5966375
TSFINV,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,373.95001220703125,354.03002028205196,433.7099879819691,18.10908317565918,1,0.5947713,1,0.5947713,,0.5947713,1.0,0.5947713
AFCONS,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,288.0,276.159402590652,323.521792228044,10.764179229736328,1,0.59301656,1,0.59301656,,0.59301656,1.0,0.59301656
HCC,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,15.649999618530273,14.778432308618214,18.26470154826645,0.7923339009284973,1,0.59201074,1,0.59201074,,0.59201074,1.0,0.59201074
DVL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,217.35000610351562,206.10084795411808,251.09748055170826,10.226507186889648,1,0.58944416,1,0.58944416,,0.58944416,1.0,0.58944416
GROWWRAIL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,30.299999237060547,29.308910336470845,33.27326593882965,0.9009898900985718,1,0.5887235,1,0.5887235,,0.5887235,1.0,0.5887235
LORDSCHLO,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,122.83000183105469,115.15139110134709,145.8658340201775,6.980555057525635,1,0.5794188,1,0.5794188,,0.5794188,1.0,0.5794188
INDIGO,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,4361.10009765625,4193.029322223863,4865.31242395341,152.79161071777344,1,0.5779841,1,0.5779841,,0.5779841,1.0,0.5779841
ORIENTPPR,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,16.579999923706055,15.755514723073674,19.053455525603198,0.7495319843292236,1,0.5759926,1,0.5759926,,0.5759926,1.0,0.5759926
OSWALPUMPS,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,318.1499938964844,297.9445996673455,378.7661765839009,18.368539810180664,1,0.5757486,1,0.5757486,,0.5757486,1.0,0.5757486
SFL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,530.0999755859375,507.43672684185617,598.0897218181815,20.60295295715332,1,0.57551914,1,0.57551914,,0.57551914,1.0,0.57551914
INSPIRISYS-BE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,81.8499984741211,76.09300829807216,99.12096900226788,5.2336273193359375,1,0.5673284,1,0.5673284,,0.5673284,1.0,0.5673284
EIDPARRY,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,817.6500244140625,784.1177042368906,918.2469849455781,30.48392677307129,1,0.5669908,1,0.5669908,,0.5669908,1.0,0.5669908
TITAGARH,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,650.0,621.8699491125876,734.3901526622371,25.572772979736328,1,0.5649299,1,0.5649299,,0.5649299,1.0,0.5649299
915SCL26-NE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1015.0,988.9859544837682,1093.0421365486955,23.649131774902344,1,0.56409395,1,0.56409395,,0.56409395,1.0,0.56409395
BANKADD,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,56.459999084472656,55.33456373159592,59.83630514310286,1.023123025894165,1,0.5588283,1,0.5588283,,0.5588283,1.0,0.5588283
SHYAMMETL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,785.2999877929688,756.5329965078399,871.6009616483552,26.151809692382812,1,0.55865,1,0.55865,,0.55865,1.0,0.55865
DEVYANI,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,109.0,103.14535032934168,126.56394901197496,5.322408676147461,1,0.5583309,1,0.5583309,,0.5583309,1.0,0.5583309
VSTTILLERS,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,5313.5,5047.373393584889,6111.879819245334,241.9332733154297,1,0.5567993,1,0.5567993,,0.5567993,1.0,0.5567993
INOXWIND,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,81.95999908447266,77.43365344727374,95.5390359960694,4.114859580993652,1,0.5528577,1,0.5528577,,0.5528577,1.0,0.5528577
GRSE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,2394.0,2283.9170393925806,2724.248881822258,100.0754165649414,1,0.5518043,1,0.5518043,,0.5518043,1.0,0.5518043
GML-ST,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,17.600000381469727,16.680764154537457,20.357709062266537,0.8356692790985107,1,0.5504409,1,0.5504409,,0.5504409,1.0,0.5504409
BBTC,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1543.5,1483.8390097084698,1722.4829708745906,54.23726272583008,1,0.54545826,1,0.54545826,,0.54545826,1.0,0.54545826
ACCURACY,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,4.079999923706055,3.786557730632648,4.960326502926275,0.26676562428474426,1,0.541769,1,0.541769,,0.541769,1.0,0.541769
SURYAROSNI,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,210.88999938964844,200.75375287020756,241.29873894797106,9.21476936340332,1,0.54112166,1,0.54112166,,0.54112166,1.0,0.54112166
HATHWAY,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,10.100000381469727,9.70587381462343,11.282380082008615,0.35829687118530273,1,0.53816897,1,0.53816897,,0.53816897,1.0,0.53816897
HUDCO,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,179.99000549316406,172.7414520599939,201.73566579267458,6.589593887329102,1,0.5373359,1,0.5373359,,0.5373359,1.0,0.5373359
OSWALAGRO,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,44.02000045776367,41.113534506744344,52.739398310821656,2.6422417163848877,1,0.5371243,1,0.5371243,,0.5371243,1.0,0.5371243
HAVELLS,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1338.0,1296.2010061741094,1463.396981477672,37.99908447265625,1,0.53652877,1,0.53652877,,0.53652877,1.0,0.53652877
PURVA,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,189.0,177.0117289805787,224.96481305826387,10.898427963256836,1,0.5342631,1,0.5342631,,0.5342631,1.0,0.5342631
SBILIFE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1961.5999755859375,1910.562780036987,2114.7115622327888,46.3974494934082,1,0.5223799,1,0.5223799,,0.5223799,1.0,0.5223799
BOMDYEING,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,107.55000305175781,102.17377202779096,123.67869612365837,4.887482643127441,1,0.51976717,1,0.51976717,,0.51976717,1.0,0.51976717
NIITLTD,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,65.66000366210938,62.15956763786758,76.16131173483475,3.1822144985198975,1,0.5187911,1,0.5187911,,0.5187911,1.0,0.5187911
TBZ,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,134.58999633789062,128.1936907335562,153.7789131508939,5.814823150634766,1,0.51565087,1,0.51565087,,0.51565087,1.0,0.51565087
HDFCPVTBAN,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,27.459999084472656,26.5893513252378,30.071942362177225,0.7914979457855225,1,0.51220745,1,0.51220745,,0.51220745,1.0,0.51220745
PRAKASH,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,122.61000061035156,116.48524261550995,140.9842745948764,5.567961692810059,1,0.5120333,1,0.5120333,,0.5120333,1.0,0.5120333
TEXRAIL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,93.2699966430664,88.26885365136877,108.27342561815931,4.5464935302734375,1,0.5113585,1,0.5113585,,0.5113585,1.0,0.5113585
MAHLIFE,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,353.0,340.3020333398913,391.0938999803261,11.54360580444336,1,0.50736094,1,0.50736094,,0.50736094,1.0,0.50736094
BAJAJHFL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,83.06999969482422,80.90193837950314,89.57418364078747,1.970964789390564,1,0.5051851,1,0.5051851,,0.5051851,1.0,0.5051851
KIOCL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,324.1000061035156,305.7495548085635,379.15135998837195,16.682228088378906,1,0.5038466,1,0.5038466,,0.5038466,1.0,0.5038466
CDSL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1233.0,1188.0100183272366,1367.9699450182902,40.89998245239258,1,0.50335866,1,0.50335866,,0.50335866,1.0,0.50335866
AJAXENGG,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,491.20001220703125,468.74490593877476,558.5653310118007,20.413732528686523,1,0.50122607,1,0.50122607,,0.50122607,1.0,0.50122607
3IINFOLTD,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,13.59000015258789,13.037947690442422,15.246157539024296,0.5018658638000488,1,0.50118595,1,0.50118595,,0.50118595,1.0,0.50118595
JAGRAN,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,62.38999938964844,60.76604994591909,67.26184772083647,1.4763176441192627,1,0.49959904,1,0.49959904,,0.49959904,1.0,0.49959904
JUSTDIAL,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,531.7999877929688,509.6247113189854,598.3258172149187,20.15934181213379,1,0.4922632,1,0.4922632,,0.4922632,1.0,0.4922632
PIDILITIND,2026-03-18,2026-03-19,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-18,1380.5999755859375,1341.1405001670778,1498.9784018425166,35.872249603271484,1,0.49207306,1,0.49207306,,0.49207306,1.0,0.49207306
