pos_id,entry_date,symbol,side,regime,side_mode,stop_r,tgt_r,entry_price,stop_price,target_price,risk_amt,gate_mult,score,last_mark_date
57,2026-03-25,FEDERALBNK,long,bull,both,1.1,3.3,265.5,255.8459772109985,294.4620683670044,4900.0,1.0,1.1344255208969116,2026-03-27
59,2026-03-25,IT,long,bull,both,1.1,3.3,33.04999923706055,31.66716341972351,37.19850668907166,4900.0,1.0,1.1299492120742798,2026-03-27
61,2026-03-25,MANORG,long,bull,both,1.1,3.3,393.5,370.96093940734863,461.1171817779541,4900.0,1.0,1.0533405542373655,2026-03-27
63,2026-03-25,NEELAM-SM,long,bull,both,1.1,3.3,11.149999618530272,10.563541090488432,12.909375202655792,4900.0,1.0,1.034832239151001,2026-03-27
64,2026-03-25,LEMONTREE,long,bull,both,1.1,3.3,107.0,102.1681137084961,121.49565887451172,4900.0,1.0,1.0269317626953125,2026-03-27
65,2026-03-25,NAM-INDIA,long,bull,both,1.1,3.3,860.0,820.441357421875,978.675927734375,4900.0,1.0,1.0161737203598022,2026-03-27
66,2026-03-25,KRBL,long,bull,both,1.1,3.3,301.95001220703125,285.70432300567626,350.68707981109617,4900.0,1.0,0.9914137721061708,2026-03-27
69,2026-03-25,KOTAKBANK,long,bull,both,1.1,3.3,368.9500122070313,358.41941223144534,400.54181213378905,4900.0,1.0,0.9720234274864196,2026-03-27
70,2026-03-25,IONEXCHANG,long,bull,both,1.1,3.3,331.3999938964844,313.170977973938,386.0870416641236,4900.0,1.0,0.9597364068031312,2026-03-27
71,2026-03-25,TOP10ADD,long,bull,both,1.1,3.3,86.18000030517578,83.26818640232086,94.91544201374056,4900.0,1.0,0.9589638710021972,2026-03-27
72,2026-03-25,INDIASHLTR,long,bull,both,1.1,3.3,711.2999877929688,671.7829460144043,829.8511131286621,4900.0,1.0,0.9554693102836608,2026-03-27
73,2026-03-25,APLLTD,long,bull,both,1.1,3.3,675.0,646.9281526565552,759.2155420303345,4900.0,1.0,0.9391723275184632,2026-03-27
