pos_id,symbol,side,regime,side_mode,stop_r,tgt_r,entry_date,exit_date,exit_reason,entry_price,exit_price,rmult_used,risk_amt,gate_mult,score,pnl,equity_before,equity_after,marked_to,model_run
1,GRMOVER,long,bull,both,1.1,3.3,2026-03-24,2026-03-24,STOP,153.60000610351562,147.9327836036682,-1.0,5000.0,1.0,1.2609989643096924,-5000.0,1000000.0,995000.0,2026-03-24,2026-03-24
6,NIITMTS,long,bull,both,1.1,3.3,2026-03-24,2026-03-24,STOP,300.0,282.42522525787354,-1.0,5000.0,1.0,0.7601171135902405,-5000.0,995000.0,990000.0,2026-03-24,2026-03-24
8,RADAAN,long,bull,both,1.1,3.3,2026-03-24,2026-03-24,STOP,2.900000095367432,2.6073592782020567,-1.0,5000.0,1.0,0.5925673842430115,-5000.0,990000.0,985000.0,2026-03-24,2026-03-24
14,ECOLINE-SM,long,bull,both,1.1,2.2,2026-03-24,2026-03-24,STOP,130.0,122.25712671279908,-1.0,5000.0,1.0,0.4270355105400085,-5000.0,985000.0,980000.0,2026-03-24,2026-03-24
17,TEAMGTY,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,STOP,252.6999969482422,275.6951829910278,-1.0,5000.0,1.0,0.3865601420402527,-5000.0,980000.0,975000.0,2026-03-25,2026-03-25
27,MON100,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,STOP,225.759994506836,233.1227108001709,-1.0,5000.0,1.0,0.1685240864753723,-5000.0,975000.0,970000.0,2026-03-25,2026-03-25
28,DALMIASUG,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,STOP,314.0,330.6325653076172,-1.0,5000.0,1.0,0.1645532548427581,-5000.0,970000.0,965000.0,2026-03-25,2026-03-25
30,AGIIL,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,STOP,297.0,314.8476976394653,-1.0,5000.0,1.0,0.1525981426239013,-5000.0,965000.0,960000.0,2026-03-25,2026-03-25
33,ACCENTMIC-SM,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,OPEN_STOP,348.1499938964844,366.6499938964844,-1.3212842928531208,5000.0,1.0,0.1098290085792541,-6606.421464265603,960000.0,953393.5785357344,2026-03-25,2026-03-25
34,MALUPAPER,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,STOP,29.40999984741211,31.23901174068451,-1.0,5000.0,1.0,0.0968537926673889,-5000.0,953393.5785357344,948393.5785357344,2026-03-25,2026-03-25
36,SPORTKING,short,bear,both,1.1,1.65,2026-03-24,2026-03-25,STOP,114.1500015258789,120.8931007862091,-1.0,5000.0,1.0,0.0923011898994445,-5000.0,948393.5785357344,943393.5785357344,2026-03-25,2026-03-25
47,READYMIX-SM,long,bull,both,1.1,1.65,2026-03-24,2026-03-25,OPEN_STOP,80.05000305175781,73.0,-1.121718481385618,5000.0,1.0,-0.1704390347003936,-5608.59240692809,943393.5785357344,937784.9861288064,2026-03-25,2026-03-25
