pos_id,entry_date,symbol,side,regime,side_mode,stop_r,tgt_r,risk_amt,gate_mult,score,ref_date,ref_atr_value,expr_score,expr_score_adj,rr_pred,model_run
42,2026-03-24,930APMD34-N0,short,bear,both,1.1,3.3,5000.0,1.0,-0.0216941833496093,2026-03-23,822.4727172851562,-0.0216941833496093,-0.0216941833496093,,2026-03-23
49,2026-03-24,698GR2054-GS,short,bear,both,1.1,1.65,5000.0,1.0,-0.3882181346416473,2026-03-23,0.6033194065093994,-0.3882181346416473,-0.3882181346416473,,2026-03-23
74,2026-03-26,RULKA-SM,long,bull,both,1.1,3.3,4664.424930644032,1.0,1.1641058921813965,2026-03-25,4.436033248901367,1.1641058921813965,1.1641058921813965,,2026-03-25
75,2026-03-26,MOMGF,long,bull,both,1.1,3.3,4664.424930644032,1.0,1.1618281602859497,2026-03-25,3.824394702911377,1.1618281602859497,1.1618281602859497,,2026-03-25
76,2026-03-26,ACEINTEG,long,bull,both,1.1,3.3,4664.424930644032,1.0,1.1378604173660278,2026-03-25,1.2918211221694946,1.1378604173660278,1.1378604173660278,,2026-03-25
77,2026-03-26,MON50EQUAL,long,bull,both,1.1,3.3,4664.424930644032,1.0,1.005728006362915,2026-03-25,1.0127060413360596,1.005728006362915,1.005728006362915,,2026-03-25
78,2026-03-26,MIDQ50ADD,long,bull,both,1.1,3.3,4664.424930644032,1.0,0.9660922288894652,2026-03-25,7.246692657470703,0.9660922288894652,0.9660922288894652,,2026-03-25
79,2026-03-26,SONAMAC-SM,long,bull,both,1.1,3.3,4664.424930644032,1.0,0.9000919461250305,2026-03-25,1.747073769569397,0.9000919461250305,0.9000919461250305,,2026-03-25
80,2026-03-30,DIVINEHIRA-ST,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.9077106714248657,2026-03-27,8.881187438964844,0.9077106714248657,0.9077106714248657,,2026-03-27
81,2026-03-30,IDENTICAL-SM,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.8475290536880493,2026-03-27,1.0569734573364258,0.8475290536880493,0.8475290536880493,,2026-03-27
82,2026-03-30,ELM250,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.7125226259231567,2026-03-27,0.801482617855072,0.7125226259231567,0.7125226259231567,,2026-03-27
83,2026-03-30,QUALITY30,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.6845144033432007,2026-03-27,0.8984488248825073,0.6845144033432007,0.6845144033432007,,2026-03-27
84,2026-03-30,NCLIND,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.6593425869941711,2026-03-27,7.119136333465576,0.6593425869941711,0.6593425869941711,,2026-03-27
85,2026-03-30,OMAXAUTO,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.6580715179443359,2026-03-27,5.101265907287598,0.6580715179443359,0.6580715179443359,,2026-03-27
86,2026-03-30,JAGRAN,long,bull,both,1.1,3.3,4297.8765560075935,1.0,0.6481178998947144,2026-03-27,1.4654840230941772,0.6481178998947144,0.6481178998947144,,2026-03-27
