pos_id,symbol,side,entry_date,ref_date,entry_price_proxy,qty,stop_price_proxy,target_price_proxy,stop_r,tgt_r,atr_value_ref,risk_amt,gate_mult,expr_score,expr_score_adj,rr_pred,model_run
1,PANSARI,long,2026-03-11,2026-03-10,297.0,288,279.6822048187256,348.95338554382323,1.1,3.3,15.743450164794922,5000.0,1.0,0.6314593553543091,0.6314593553543091,,2026-03-10
2,GRCL-SM,long,2026-03-11,2026-03-10,389.5,215,366.250696182251,459.24791145324707,1.1,3.3,21.135730743408203,5000.0,1.0,0.5877358913421631,0.5877358913421631,,2026-03-10
3,SAAKSHI-SM,long,2026-03-11,2026-03-10,183.5500030517578,599,175.21318855285645,208.56044654846193,1.1,3.3,7.578922271728516,5000.0,1.0,0.560150682926178,0.560150682926178,,2026-03-10
4,NUVAMA,long,2026-03-11,2026-03-10,1235.0,98,1184.1665924072265,1387.5002227783202,1.1,3.3,46.212188720703125,5000.0,1.0,0.5402990579605103,0.5402990579605103,,2026-03-10
5,IREDA,long,2026-03-11,2026-03-10,117.30999755859375,1105,112.7869077205658,130.8792670726776,1.1,3.3,4.1118998527526855,5000.0,1.0,0.5013843178749084,0.5013843178749084,,2026-03-10
6,MIDSMALL,long,2026-03-11,2026-03-10,46.27000045776367,5050,45.28008630871773,49.239742904901505,1.1,3.3,0.8999219536781311,5000.0,1.0,0.49958544969558716,0.49958544969558716,,2026-03-10
7,IRFC,long,2026-03-11,2026-03-10,101.02999877929688,1267,97.08554568290711,112.86335806846618,1.1,3.3,3.5858664512634277,5000.0,1.0,0.493594229221344,0.493594229221344,,2026-03-10
8,LICNMID100,long,2026-03-11,2026-03-10,57.43000030517578,4103,56.21157358884811,61.085280454158784,1.1,3.3,1.1076606512069702,5000.0,1.0,0.4830361604690552,0.4830361604690552,,2026-03-10
9,PAGEIND,long,2026-03-11,2026-03-10,31610.0,6,30782.26826171875,34093.19521484375,1.1,3.3,752.4833984375,5000.0,1.0,0.4828166365623474,0.4828166365623474,,2026-03-10
10,KAMOPAINTS,long,2026-03-11,2026-03-10,4.28000020980835,16341,3.9740377098321913,5.197887709736824,1.1,3.3,0.27814772725105286,5000.0,1.0,0.4753674268722534,0.4753674268722534,,2026-03-10
11,HONASA,long,2026-03-11,2026-03-10,289.29998779296875,447,278.1177451133728,322.84671583175657,1.1,3.3,10.165675163269043,5000.0,1.0,0.46109235286712646,0.46109235286712646,,2026-03-10
12,PREMIERENE,long,2026-03-11,2026-03-10,748.0,149,714.506962966919,848.4791110992431,1.1,3.3,30.44821548461914,5000.0,1.0,0.4518146514892578,0.4518146514892578,,2026-03-10
13,NRBBEARING,long,2026-03-11,2026-03-10,263.8999938964844,439,252.53291110992433,298.0012422561646,1.1,3.3,10.333711624145508,5000.0,1.0,0.4431648254394531,0.4431648254394531,,2026-03-10
14,VSTIND,long,2026-03-11,2026-03-10,224.89999389648438,694,217.70399866104125,246.4879796028137,1.1,3.3,6.541813850402832,5000.0,1.0,0.4387965798377991,0.4387965798377991,,2026-03-10
15,IIFL,long,2026-03-11,2026-03-10,492.8999938964844,224,470.63402824401857,559.6978908538819,1.1,3.3,20.24178695678711,5000.0,1.0,0.4288479685783386,0.4288479685783386,,2026-03-10
16,SYNGENE,long,2026-03-11,2026-03-10,410.0,330,394.86714057922364,440.2657188415527,1.1,2.2,13.757144927978516,5000.0,1.0,0.3982365131378174,0.3982365131378174,,2026-03-10
17,SHREDIGCEM,long,2026-03-11,2026-03-10,65.5,1584,62.34478113651276,74.96565659046173,1.1,3.3,2.8683807849884033,5000.0,1.0,0.39351338148117065,0.39351338148117065,,2026-03-10
18,HDFCSML250,long,2026-03-11,2026-03-10,155.0500030517578,1369,151.39904928207397,166.00286436080933,1.1,3.3,3.3190488815307617,5000.0,1.0,0.38705623149871826,0.38705623149871826,,2026-03-10
19,PETRONET,long,2026-03-11,2026-03-10,290.3999938964844,406,278.0884955406189,327.33448896408083,1.1,3.3,11.19227123260498,5000.0,1.0,0.3804726004600525,0.3804726004600525,,2026-03-10
20,ESCORTS,long,2026-03-11,2026-03-10,3329.0,37,3195.757011413574,3728.7289657592773,1.1,3.3,121.12998962402344,5000.0,1.0,0.377987265586853,0.377987265586853,,2026-03-10
21,ITI,long,2026-03-11,2026-03-10,257.3500061035156,480,246.94618492126466,288.5614696502686,1.1,3.3,9.458019256591797,5000.0,1.0,0.3746751546859741,0.3746751546859741,,2026-03-10
22,AVANTEL,long,2026-03-11,2026-03-10,145.5,714,138.49821543693542,166.50535368919373,1.1,3.3,6.365258693695068,5000.0,1.0,0.37455594539642334,0.37455594539642334,,2026-03-10
