symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,entry_price,stop_price,target_price,atr_value,px_ok,px_ref_date,px_ref_mode,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
TAINWALCHM,2026-03-06,2026-03-09,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,202.89999389648438,216.935021990755,181.84745175507845,12.759116172790527,1,2026-03-06,close_prev_bar,0.31573147,1,0.31573147,,0.31573147,1.0,0.31573147
SRGHFL,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,266.3999938964844,253.40758219215195,305.37722900948165,11.811283111572266,1,2026-03-06,close_prev_bar,0.31548238,1,0.31548238,,0.31548238,1.0,0.31548238
WINNY-SM,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,50.400001525878906,44.64087445174289,61.91825567415094,5.235569953918457,1,2026-03-06,close_prev_bar,0.23364806,1,0.23364806,,0.23364806,1.0,0.23364806
SGMART,2026-03-06,2026-03-09,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,457.0,476.57136806946164,427.64294789580754,17.792152404785156,1,2026-03-06,close_prev_bar,0.21889982,1,0.21889982,,0.21889982,1.0,0.21889982
ONGC,2026-03-06,2026-03-09,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,272.5,281.8406847117312,258.48897293240316,8.491531372070312,1,2026-03-06,close_prev_bar,0.104705065,1,0.104705065,,0.104705065,1.0,0.104705065
UNITEDTEA,2026-03-06,2026-03-09,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,495.0,517.1511506113388,461.77327408299175,20.137409210205078,1,2026-03-06,close_prev_bar,0.10012567,1,0.10012567,,0.10012567,1.0,0.10012567
GEMAROMA,2026-03-06,2026-03-09,short,bear,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,197.1999969482422,207.49110930813686,181.76332840840018,9.35555648803711,1,2026-03-06,close_prev_bar,0.09169087,1,0.09169087,,0.09169087,1.0,0.09169087
VHL,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,3153.5,3035.2442654727647,3508.267203581706,107.50521087646484,1,2026-03-06,close_prev_bar,0.08442849,1,0.08442849,,0.08442849,1.0,0.08442849
AMJLAND,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,39.79999923706055,37.19959305849062,47.601217772770326,2.3640055656433105,1,2026-03-06,close_prev_bar,0.06749469,1,0.06749469,,0.06749469,1.0,0.06749469
BDL,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,1.6500000357627869,1.1,1.65,14,1359.9000244140625,1305.7796069812684,1441.0806505632536,49.20037841796875,1,2026-03-06,close_prev_bar,0.031248689,1,0.031248689,,0.031248689,1.0,0.031248689
ASTRON,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,4.090000152587891,3.816105230176559,4.9116849198218855,0.24899537861347198,1,2026-03-06,close_prev_bar,0.0036407113,1,0.0036407113,,0.0036407113,1.0,0.0036407113
DCXINDIA,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,2.200000047683716,1.1,2.2,14,196.5,185.26719746085075,218.9656050782985,10.211638450622559,1,2026-03-06,close_prev_bar,-0.025716603,1,-0.025716603,,-0.025716603,1.0,-0.025716603
