pos_id,symbol,side,entry_date,entry_price,qty,stop_price,target_price,stop_r,tgt_r,risk_amt,gate_mult,expr_score,expr_score_adj,rr_pred,model_run
37,DMCC,long,2026-03-09,223.8800048828125,412,211.75269701421678,260.26192848859966,1.1,3.3,5000.0,1.0,0.9333477020263672,0.9333477020263672,,2026-03-06
38,SHOPERSTOP,long,2026-03-09,311.3500061035156,242,290.7456990544513,373.16292725070866,1.1,3.3,5000.0,1.0,0.8272258639335632,0.8272258639335632,,2026-03-06
39,DOLPHIN,long,2026-03-09,417.70001220703125,151,384.69520897854886,516.7144218924784,1.1,3.3,5000.0,1.0,0.7500168085098267,0.7500168085098267,,2026-03-06
40,TATAINVEST,long,2026-03-09,654.8499755859375,164,624.5246075733062,745.8260796238314,1.1,3.3,5000.0,1.0,0.7466671466827393,0.7466671466827393,,2026-03-06
41,ARTEMISMED,long,2026-03-09,233.89999389648438,510,224.10274417623066,263.2917430572455,1.1,3.3,5000.0,1.0,0.7420214414596558,0.7420214414596558,,2026-03-06
42,DIXON,long,2026-03-09,10251.0,11,9811.832174319185,11568.503477042446,1.1,3.3,5000.0,1.0,0.7309563755989075,0.7309563755989075,,2026-03-06
43,ISHANCH,long,2026-03-09,60.77000045776367,1182,56.54025092493947,73.45924905623627,1.1,3.3,5000.0,1.0,0.684589684009552,0.684589684009552,,2026-03-06
44,ZYDUSWELL,long,2026-03-09,385.95001220703125,373,372.54810075322257,426.1557465684573,1.1,3.3,5000.0,1.0,0.6603701710700989,0.6603701710700989,,2026-03-06
45,SECURKLOUD,long,2026-03-09,22.700000762939453,3146,21.110768045312,27.467698915821813,1.1,3.3,5000.0,1.0,0.6433789730072021,0.6433789730072021,,2026-03-06
46,NTPCGREEN,long,2026-03-09,88.25,2138,85.9121175736106,95.2636472791682,1.1,3.3,5000.0,1.0,0.5909691452980042,0.5909691452980042,,2026-03-06
47,HAL,long,2026-03-09,3978.60009765625,38,3848.012574989416,4370.362665656752,1.1,3.3,5000.0,1.0,0.5753206610679626,0.5753206610679626,,2026-03-06
48,SWIGGY,long,2026-03-09,299.79998779296875,363,286.0293161268522,341.11200279131833,1.1,3.3,5000.0,1.0,0.573889970779419,0.573889970779419,,2026-03-06
49,SHAH,long,2026-03-09,4.889999866485596,26796,4.703409068712521,5.449772259804821,1.1,3.3,5000.0,1.0,0.5650633573532104,0.5650633573532104,,2026-03-06
50,JAGRAN,long,2026-03-09,63.41999816894531,3499,61.991092603230356,67.70671486609018,1.1,3.3,5000.0,1.0,0.5598021745681763,0.5598021745681763,,2026-03-06
51,ACE,long,2026-03-09,885.9000244140625,165,855.6151661984518,976.7545990608946,1.1,3.3,5000.0,1.0,0.5287915468215942,0.5287915468215942,,2026-03-06
52,HUBTOWN,long,2026-03-09,220.0,400,207.50361405943988,257.48915782168035,1.1,3.3,5000.0,1.0,0.5149648189544678,0.5149648189544678,,2026-03-06
53,VBL,long,2026-03-09,451.0,348,436.65999238404345,494.02002284786965,1.1,3.3,5000.0,1.0,0.5035300850868225,0.5035300850868225,,2026-03-06
54,MGSL-SM,long,2026-03-09,83.05000305175781,1174,78.79461965874361,95.81615323080041,1.1,3.3,5000.0,1.0,0.47055596113204956,0.47055596113204956,,2026-03-06
55,SUPREMEPWR-SM,long,2026-03-09,146.85000610351562,480,136.43834730469837,178.0849824999674,1.1,3.3,5000.0,1.0,0.468256413936615,0.468256413936615,,2026-03-06
56,DAMODARIND,long,2026-03-09,26.0,3538,24.586992006670172,30.239023979989483,1.1,3.3,5000.0,1.0,0.40613168478012085,0.40613168478012085,,2026-03-06
57,SOUTHWEST-BE,long,2026-03-09,186.60000610351562,461,175.77328448671165,219.08017095392756,1.1,3.3,5000.0,1.0,0.3857154846191406,0.3857154846191406,,2026-03-06
58,SVLL,long,2026-03-09,567.3499755859375,112,523.0602460798409,700.2191641042273,1.1,3.3,5000.0,1.0,0.346798837184906,0.346798837184906,,2026-03-06
59,TAINWALCHM,short,2026-03-09,202.89999389648438,356,216.935021990755,181.84745175507845,1.1,1.65,5000.0,1.0,0.3157314658164978,0.3157314658164978,,2026-03-06
60,SRGHFL,long,2026-03-09,266.3999938964844,384,253.40758219215195,305.37722900948165,1.1,3.3,5000.0,1.0,0.31548237800598145,0.31548237800598145,,2026-03-06
61,WINNY-SM,long,2026-03-09,50.400001525878906,868,44.64087445174289,61.91825567415094,1.1,2.2,5000.0,1.0,0.23364806175231934,0.23364806175231934,,2026-03-06
62,SGMART,short,2026-03-09,457.0,255,476.57136806946164,427.64294789580754,1.1,1.65,5000.0,1.0,0.21889981627464294,0.21889981627464294,,2026-03-06
63,ONGC,short,2026-03-09,272.5,535,281.8406847117312,258.48897293240316,1.1,1.65,5000.0,1.0,0.10470506548881531,0.10470506548881531,,2026-03-06
64,UNITEDTEA,short,2026-03-09,495.0,225,517.1511506113388,461.77327408299175,1.1,1.65,5000.0,1.0,0.10012567043304443,0.10012567043304443,,2026-03-06
65,GEMAROMA,short,2026-03-09,197.1999969482422,485,207.49110930813686,181.76332840840018,1.1,1.65,5000.0,1.0,0.09169086813926697,0.09169086813926697,,2026-03-06
66,VHL,long,2026-03-09,3153.5,42,3035.2442654727647,3508.267203581706,1.1,3.3,5000.0,1.0,0.08442848920822144,0.08442848920822144,,2026-03-06
67,AMJLAND,long,2026-03-09,39.79999923706055,1922,37.19959305849062,47.601217772770326,1.1,3.3,5000.0,1.0,0.06749469041824341,0.06749469041824341,,2026-03-06
68,BDL,long,2026-03-09,1359.9000244140625,92,1305.7796069812684,1441.0806505632536,1.1,1.65,5000.0,1.0,0.03124868869781494,0.03124868869781494,,2026-03-06
69,ASTRON,long,2026-03-09,4.090000152587891,18255,3.816105230176559,4.9116849198218855,1.1,3.3,5000.0,1.0,0.0036407113075256348,0.0036407113075256348,,2026-03-06
70,DCXINDIA,long,2026-03-09,196.5,445,185.26719746085075,218.9656050782985,1.1,2.2,5000.0,1.0,-0.02571660280227661,-0.02571660280227661,,2026-03-06
