pos_id,entry_date,symbol,side,regime,side_mode,stop_r,tgt_r,risk_amt,gate_mult,score,ref_date,ref_atr_value,expr_score,expr_score_adj,rr_pred,model_run
35,2026-03-24,ZENTEC,short,bear,both,1.1,1.65,5000.0,1.0,0.09447526931762695,2026-03-23,54.5069580078125,0.09447526931762695,0.09447526931762695,,2026-03-23
36,2026-03-24,SPORTKING,short,bear,both,1.1,1.65,5000.0,1.0,0.09230118989944458,2026-03-23,6.130090236663818,0.09230118989944458,0.09230118989944458,,2026-03-23
37,2026-03-24,MACOBSTECH-SM,long,bull,both,1.1,3.3,5000.0,1.0,0.08217895030975342,2026-03-23,9.248161315917969,0.08217895030975342,0.08217895030975342,,2026-03-23
38,2026-03-24,BLUSPRING,long,bull,both,1.1,2.2,5000.0,1.0,0.06896346807479858,2026-03-23,3.314697265625,0.06896346807479858,0.06896346807479858,,2026-03-23
39,2026-03-24,EXCELLENT-ST,short,bear,both,1.1,1.65,5000.0,1.0,0.055067598819732666,2026-03-23,5.793586254119873,0.055067598819732666,0.055067598819732666,,2026-03-23
40,2026-03-24,IWARE-ST,short,bear,both,1.1,1.65,5000.0,1.0,0.03457295894622803,2026-03-23,11.080406188964844,0.03457295894622803,0.03457295894622803,,2026-03-23
41,2026-03-24,760PFCL35-N3,short,bear,both,1.1,3.3,5000.0,1.0,-0.021694183349609375,2026-03-23,10.514607429504395,-0.021694183349609375,-0.021694183349609375,,2026-03-23
42,2026-03-24,930APMD34-N0,short,bear,both,1.1,3.3,5000.0,1.0,-0.021694183349609375,2026-03-23,822.4727172851562,-0.021694183349609375,-0.021694183349609375,,2026-03-23
43,2026-03-24,AILIMITED-SM,short,bear,both,1.1,3.3,5000.0,1.0,-0.021694183349609375,2026-03-23,1.4981436729431152,-0.021694183349609375,-0.021694183349609375,,2026-03-23
44,2026-03-24,CLSL-SM,short,bear,both,1.1,3.3,5000.0,1.0,-0.021694183349609375,2026-03-23,1.986863374710083,-0.021694183349609375,-0.021694183349609375,,2026-03-23
45,2026-03-24,MARCO-SM,short,bear,both,1.1,1.65,5000.0,1.0,-0.03283238410949707,2026-03-23,2.150033950805664,-0.03283238410949707,-0.03283238410949707,,2026-03-23
46,2026-03-24,VOLERCAR-SM,short,bear,both,1.1,1.65,5000.0,1.0,-0.048163771629333496,2026-03-23,13.213964462280273,-0.048163771629333496,-0.048163771629333496,,2026-03-23
47,2026-03-24,READYMIX-SM,long,bull,both,1.1,1.65,5000.0,1.0,-0.17043903470039368,2026-03-23,5.7136383056640625,-0.17043903470039368,-0.17043903470039368,,2026-03-23
48,2026-03-24,ABGSEC,short,bear,both,1.1,1.65,5000.0,1.0,-0.1932811141014099,2026-03-23,0.8693961501121521,-0.1932811141014099,-0.1932811141014099,,2026-03-23
49,2026-03-24,698GR2054-GS,short,bear,both,1.1,1.65,5000.0,1.0,-0.38821813464164734,2026-03-23,0.6033194065093994,-0.38821813464164734,-0.38821813464164734,,2026-03-23
50,2026-03-24,888ECL28-N1,short,bear,both,1.1,1.65,5000.0,1.0,-0.4599708318710327,2026-03-23,21.917835235595703,-0.4599708318710327,-0.4599708318710327,,2026-03-23
