pos_id,entry_date,symbol,side,regime,side_mode,stop_r,tgt_r,entry_price,stop_price,target_price,risk_amt,gate_mult,score,last_mark_date
39,2026-03-24,EXCELLENT-ST,short,bear,both,1.1,1.65,90.5,96.87294487953186,80.9405826807022,5000.0,1.0,0.0550675988197326,2026-03-24
40,2026-03-24,IWARE-ST,short,bear,both,1.1,1.65,245.0,257.18844680786134,226.71732978820802,5000.0,1.0,0.034572958946228,2026-03-24
41,2026-03-24,760PFCL35-N3,short,bear,both,1.1,3.3,1178.0,1189.5660681724548,1143.3017954826355,5000.0,1.0,-0.0216941833496093,2026-03-24
43,2026-03-24,AILIMITED-SM,short,bear,both,1.1,3.3,40.0,41.64795804023743,35.05612587928772,5000.0,1.0,-0.0216941833496093,2026-03-24
44,2026-03-24,CLSL-SM,short,bear,both,1.1,3.3,44.5,46.68554971218109,37.94335086345673,5000.0,1.0,-0.0216941833496093,2026-03-24
45,2026-03-24,MARCO-SM,short,bear,both,1.1,1.65,31.850000381469727,34.215037727355956,28.30244436264038,5000.0,1.0,-0.032832384109497,2026-03-24
46,2026-03-24,VOLERCAR-SM,short,bear,both,1.1,1.65,218.0,232.5353609085083,196.19695863723754,5000.0,1.0,-0.0481637716293334,2026-03-24
47,2026-03-24,READYMIX-SM,long,bull,both,1.1,1.65,80.05000305175781,73.76500091552734,89.47750625610351,5000.0,1.0,-0.1704390347003936,2026-03-24
48,2026-03-24,ABGSEC,short,bear,both,1.1,1.65,111.87999725341797,112.83633301854134,110.44549360573292,5000.0,1.0,-0.1932811141014099,2026-03-24
50,2026-03-24,888ECL28-N1,short,bear,both,1.1,1.65,981.0,1005.1096187591553,944.8355718612671,5000.0,1.0,-0.4599708318710327,2026-03-24
