pos_id,symbol,side,regime,side_mode,stop_r,tgt_r,entry_date,exit_date,exit_reason,entry_price,exit_price,rmult_used,risk_amt,gate_mult,score,pnl,equity_before,equity_after,marked_to,model_run
24,SRGHFL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,266.3999938964844,253.40758219215195,-1.0,5000.0,1.0,0.3154823780059814,-5000.0,933816.3433055785,928816.3433055785,2026-03-09,2026-03-10
26,SGMART,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TARGET,457.0,427.64294789580754,1.5000000000000044,5000.0,1.0,0.2188998162746429,7500.000000000022,928816.3433055785,936316.3433055785,2026-03-09,2026-03-10
27,ONGC,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,OPEN_STOP,272.5,289.0,-1.7664657901660237,5000.0,1.0,0.1047050654888153,-8832.328950830119,936316.3433055785,927484.0143547483,2026-03-09,2026-03-10
28,UNITEDTEA,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TIME,495.0,498.5,-0.15800533621979906,5000.0,1.0,0.1001256704330444,-790.0266810989954,927484.0143547483,926693.9876736493,2026-03-09,2026-03-10
29,GEMAROMA,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TIME,197.1999969482422,188.33999633789062,0.8609371174373439,5000.0,1.0,0.0916908681392669,4304.685587186719,926693.9876736493,930998.673260836,2026-03-09,2026-03-10
30,VHL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,3153.5,3062.39990234375,-0.7703651583616766,5000.0,1.0,0.0844284892082214,-3851.825791808383,930998.673260836,927146.8474690276,2026-03-09,2026-03-10
31,AMJLAND,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,39.79999923706055,37.19959305849062,-1.0,5000.0,1.0,0.0674946904182434,-5000.0,927146.8474690276,922146.8474690276,2026-03-09,2026-03-10
32,BDL,long,bull,both,1.1,1.65,2026-03-09,2026-03-09,STOP,1359.9000244140625,1305.7796069812684,-1.0,5000.0,1.0,0.0312486886978149,-5000.0,922146.8474690276,917146.8474690276,2026-03-09,2026-03-10
33,ASTRON,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,4.090000152587891,3.950000047683716,-0.5111453095648286,5000.0,1.0,0.0036407113075256,-2555.726547824143,917146.8474690276,914591.1209212035,2026-03-09,2026-03-10
34,DCXINDIA,long,bull,both,1.1,2.2,2026-03-09,2026-03-09,STOP,196.5,185.26719746085075,-1.0,5000.0,1.0,-0.0257166028022766,-5000.0,914591.1209212035,909591.1209212035,2026-03-09,2026-03-10
35,764NABAR31-N2,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TIME,1086.9000244140625,1086.5,0.039700244568615255,5000.0,1.0,-0.1842947900295257,198.50122284307628,909591.1209212035,909789.6221440466,2026-03-09,2026-03-10
36,ELGNZ-SM,long,bull,both,1.1,1.65,2026-03-09,2026-03-09,TIME,75.05000305175781,75.0,-0.008034206619714298,5000.0,1.0,-0.312188446521759,-40.171033098571485,909789.6221440466,909749.451110948,2026-03-09,2026-03-10
37,DMCC,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,223.8800048828125,211.7526970142168,-1.0,5000.0,1.0,0.9333477020263672,-5000.0,909749.451110948,904749.451110948,2026-03-09,2026-03-10
