symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
GRMOVER,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,155.5,149.83277737731885,172.50166786804346,5.152020454406738,1,1.260999,1,1.260999,,1.260999,1.0,1.260999
648GS2035-GS,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,100.5,99.40367739208563,103.78896782374312,0.9966568946838379,1,1.1309376,1,1.1309376,,1.1309376,1.0,1.1309376
BBL,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,2270.0,2172.1305375821057,2563.608387253683,88.97223663330078,1,1.0096488,1,1.0096488,,1.0096488,1.0,1.0096488
GROWWEV,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,27.600000381469727,26.67304674762046,30.380861283017524,0.8426851034164429,1,0.92970973,1,0.92970973,,0.92970973,1.0,0.92970973
RSWM,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,127.94999694824219,121.39465975858218,147.6160085172222,5.959397315979004,1,0.7628905,1,0.7628905,,0.7628905,1.0,0.7628905
NIITMTS,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,305.6000061035156,288.0252309804662,358.32433147266397,15.977067947387695,1,0.7601171,1,0.7601171,,0.7601171,1.0,0.7601171
HCLTECH,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,1357.0999755859375,1312.0907293100954,1492.1277144134638,40.91749572753906,1,0.75970846,1,0.75970846,,0.75970846,1.0,0.75970846
RADAAN,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,2.9800000190734863,2.6873591955652927,3.8579224895980673,0.26603710651397705,1,0.5925674,1,0.5925674,,0.5925674,1.0,0.5925674
THYROCARE,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,363.8500061035156,343.47572244353114,424.9728570834691,18.522075653076172,1,0.58265966,1,0.58265966,,0.58265966,1.0,0.58265966
VHL,2026-03-23,2026-03-24,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-23,3160.0,3043.012271634281,3510.9631850971564,106.35247802734375,1,0.4907599,1,0.4907599,,0.4907599,1.0,0.4907599
